tweet_id,tweet_time,tweet_text,location,retweets,vaccine,sentiment_vader,sentiment_textblob
1.45e+18,19/10/2021 17:14,advice people like parents 80 age got 2 shots Covishield AstraZeneca vaccine India amp US Shd revaccinated w Moderna Pfizer shd get booster one two guidance wd great Thx,California,0,AstraZeneca,positive,positive
1.44e+18,24/09/2021 21:06,booster drive site open Monday Friday 10 6 pm Bring proof vaccination preferably vaccine card lists previous vaccinations Pfizer boosters available Moderna J amp J boosters recommended time,North Carolina,0,J&J,positive,positive
1.44e+18,24/09/2021 20:17,Doctor CNN today said doctors give Pfizer vaccine label others got Modern J amp J,California,0,J&J,neutral,positive
1.44e+18,24/09/2021 18:17,push vaccine apon others freedom religion science doctors n government law suits material also invasion privacy n discrimination favorite fix ya sinful ways yall fastly,Kentucky,0,J&J,positive,positive
1.44e+18,24/09/2021 16:06,VACCINE causes lots damage healthy jab mandated employer took J amp J sick ever since 5 weeks,Colorado,3,J&J,negative,negative
1.44e+18,24/09/2021 13:14,Fascinating example presidential administration disagreement agency head agency advisory committee scientific opinions policy judgments,Florida,5,J&J,positive,positive
1.44e+18,24/09/2021 04:33,disappointed lack information regret getting J amp J vaccine,Oregon,1,J&J,negative,negative
1.44e+18,24/09/2021 01:31,Zero problems J amp J vaccine,Illinois,0,J&J,negative,neutral
1.44e+18,24/09/2021 01:29,fed gov spending 2100 monoclonal antibody treatments people refuse 210 vaccine J amp J vaccines based 300 year old techn Modurna amp Pfizer based 30 year old tech Monoclonal antibodies less year old completely experimental,Michigan,0,J&J,negative,positive
1.44e+18,24/09/2021 01:27,odds someone J amp J mRNA booster would get seriously ill vaccine compared odds nasty outcomes catching COVID refused booster less effective vaccine,Massachusetts,1,J&J,negative,negative
1.44e+18,24/09/2021 01:24,thing public health authorities owe us mixing matching clear explanation believe mixing J amp J mRNA vaccines safe done France studies done conclusively similar AZ vaccine,Massachusetts,6,J&J,positive,positive
1.44e+18,24/09/2021 01:12,Yes mu lambda variants shown resistance fact alive tell story shows vaccine still working,North Carolina,0,J&J,positive,positive
1.44e+18,23/09/2021 23:56,Hawaii enter business without vaccine card negative covid test within last 24 hours Masks required times outside home include beach,Virginia,0,J&J,positive,negative
1.44e+18,23/09/2021 22:16,Maybe would work instead maybe apt work refusing mask mandates refuse properly inform public vaccine safe hell phyzer fda approved remember January push J amp J,Florida,0,J&J,negative,positive
1.44e+18,23/09/2021 21:22,pushing yall time make vaccine held responsible law suits shall start proof safety healing helping one happen sickness n death may take loved ones push responsible,Kentucky,0,J&J,positive,positive
1.44e+18,23/09/2021 20:52,vaccine makes less likely get virus among things even get virus vaccinated person less likely catch unvaccinated person lessens spread,Oregon,0,J&J,neutral,negative
1.44e+18,23/09/2021 19:54,Ya vaccine weak n lye control God children n make blood unclean,Kentucky,0,J&J,negative,negative
1.44e+18,23/09/2021 19:53,J amp J vaccine March little cough next day bad cough 4days hurting cough better recovered Yes tested positive amp state amp federal government failed produce millions free K95 masks,Utah,1,J&J,positive,negative
1.44e+18,23/09/2021 19:50,J amp J vaccine March little cough next day bad cough 4days hurting cough better recovered Yes tested positive amp state amp federal government failed produce millions free K95 masks,Utah,1,J&J,positive,negative
1.44e+18,23/09/2021 19:27,minds little see stand thy unknown vaccine forget ichrist Jesus came teach unclean things removed may clean creator created u 4 think child rape clean ur fool,Kentucky,0,J&J,negative,positive
1.44e+18,23/09/2021 17:27,100 agree son Walmart J amp J Thewhole thing mess appreciate views experience ever gon na push vaccine anyone One due diligence make choice best,Ohio,0,J&J,positive,positive
1.44e+18,23/09/2021 12:46,Yep get polio small pox measles typhoid vaccines raft others afraid get j amp j COVID vaccine,Virginia,0,J&J,positive,negative
1.44e+18,23/09/2021 03:16,J amp J makes eye drops great vehicle Imodium many possibilities hundreds products sneak vaccine,Colorado,0,J&J,positive,positive
1.44e+18,23/09/2021 02:17,Active US Navy Commander J H Furman appears Tucker Carlson writing open letter rejecting vaccine mandate says worried relieved duty oath Constitution swear alliance leadership swore oath US,California,6,J&J,neutral,negative
1.44e+18,22/09/2021 23:42,saw morally compromised Catholic leaders St Louis New Orleans proclaimed J J vaccine morally compromised may old news used member cult pedophiles priesthood morally compromised enough,New Hampshire,0,J&J,neutral,positive
1.44e+18,22/09/2021 23:01,wish high risk J amp J Covid vaccine recipients got 2nd shot option way sooner,New York,3,J&J,positive,positive
1.44e+18,22/09/2021 22:10,always buying Pfizer vaccine many people third world countries going come back second shot Whats wrong w J J vaccine much paying,Illinois,0,J&J,negative,positive
1.44e+18,22/09/2021 20:39,J amp J soooo confused second shot boosts efficacy make 2 dose vaccine somanyquestions,California,0,J&J,neutral,negative
1.44e+18,22/09/2021 15:11,Attention Bearcats Thursday September 23 last day get single dose J amp J vaccine Students taking person hybrid classes need upload proof Covid 19 vaccination CUNYfirst next Monday September 27 BaruchIsCampusReady CUNY COVID19vaccine,New York,0,J&J,neutral,negative
1.44e+18,22/09/2021 12:43,Appreciate thorough update paucity information J amp J vaccine throughout summer expert insights welcome us got single dose vaccine,California,0,J&J,positive,positive
1.44e+18,22/09/2021 12:35,go medical school please stay home get others sick pretty done refuse vaccine prolonging pandemic think know virus scientists,Missouri,0,J&J,neutral,negative
1.44e+18,22/09/2021 04:39,Wore mask Cautious months vaccine treatment Others demographic said infection inevitable cautious alive dead yeah fight inevitable Science always moving often faster aware,Wisconsin,0,J&J,negative,positive
1.44e+18,22/09/2021 00:37,Actually J amp J claiming 100 protection severe critical COVID 19 seems remarkable,Pennsylvania,0,J&J,negative,positive
1.44e+18,21/09/2021 23:03,truth vaccine makes blood God gave u life pure like blood God gave life choice become unpure God life gave u,Kentucky,0,J&J,positive,positive
1.44e+18,21/09/2021 20:25,Excellent news us J amp J vaccine,Oregon,0,J&J,positive,positive
1.44e+18,21/09/2021 17:16,N J hospitals face nursing shortage vaccine mandates already happening every state unfortunately COVID 19 deaths expected skyrocket control due lack nurses take care patients illnesses,Virginia,0,J&J,negative,negative
1.44e+18,21/09/2021 15:50,considering J amp J vaccine wait Four days barely stand shaking smell exhaust like smell know home Every joint hurts tingling knees hands face lips Touching shins feels like baseball bat,Georgia,0,J&J,negative,positive
1.44e+18,21/09/2021 15:44,considering J amp J vaccine wait Four days barely stand shaking smell exhaust like smell know home Every joint hurts tingling knees hands face lips Touching shins feels like baseball bat,Georgia,1,J&J,negative,positive
1.44e+18,21/09/2021 15:32,2nd dose J amp J COVID19 vaccine 2 months results 94 protection company says,California,2,J&J,neutral,neutral
1.44e+18,21/09/2021 15:30,J amp J booster shot increases vaccine effectiveness 94,Florida,0,J&J,neutral,neutral
1.44e+18,21/09/2021 14:06,update J amp J COVID vaccine booster,Indiana,0,J&J,neutral,neutral
1.44e+18,21/09/2021 14:02,J J vaccine mRNA guess Approved,California,0,J&J,positive,neutral
1.44e+18,21/09/2021 13:18,Day 4 J amp J vaccine Numbness face lips tingling numbness joints arms hands legs Blurry vision Feel like ran marathon training 20 years muscles said hell,Georgia,0,J&J,negative,neutral
1.44e+18,21/09/2021 13:01,New studies indicate J amp J vaccine retains effectiveness time staying steady 81 booster shot might raise 94 Awaiting peer reviews,California,0,J&J,neutral,positive
1.44e+18,21/09/2021 12:57,J amp J vaccine gives 100 protection severe COVID 19 2nd dose study says comparable Pfizer Moderna shots via,New York,0,J&J,negative,neutral
1.44e+18,21/09/2021 12:11,J amp J Says Covid 19 Vaccine Booster Two Months First Shot Increases Protection,New York,0,J&J,neutral,positive
1.44e+18,21/09/2021 11:28,J amp J Says Covid 19 Vaccine Booster Two Months First Shot Increases Protection,Illinois,0,J&J,neutral,positive
1.44e+18,21/09/2021 11:09,said back January J amp J vaccine,Texas,44,J&J,neutral,neutral
1.44e+18,21/09/2021 10:48,information us got J amp J,New York,1,J&J,neutral,neutral
1.44e+18,21/09/2021 03:11,N J child care workers must get COVID vaccine face regular tests Murphy announces,New Jersey,0,J&J,positive,neutral
1.44e+18,21/09/2021 00:59,Widow N J Officer Died COVID Says Son Wants Mark 12th Birthday Getting Vaccine via,California,0,J&J,negative,positive
1.44e+18,20/09/2021 16:13,unvaccinated AFRAID vaccine created PRESIDENT tRUMP Far right praised tRump push vaccine tRump gets asked Pfizer Moderna J amp J pretty much thing term truly brag vaccine hypocrisy,Florida,0,J&J,positive,positive
1.44e+18,20/09/2021 00:47,husband amp vaccinated amp yet contracted Delta Variant J amp J amp Todd Phizer vaccine still dealing residuals amp months ago covid Praying joke,North Carolina,0,J&J,positive,neutral
1.44e+18,19/09/2021 23:29,biggest lie Biden effective w Covid 19 ignored Delta fanned antivax fears took J amp J vaccine market handful side EFX misadvised nation stop wearing masks Directly responsible 100k deaths,Texas,0,J&J,negative,positive
1.44e+18,19/09/2021 14:16,Smfh u think money would push vaccine wanting backlash speaking ur mind,New York,0,J&J,neutral,neutral
1.44e+18,19/09/2021 12:00,much talk Sputnik version Pfizer Moderna J amp J ppl mix match boosters real problem getting 55 vaccinated grew polio era everybody went stood line fir vaccine,New Mexico,1,J&J,negative,positive
1.44e+18,19/09/2021 02:52,Even ya Pope humans think pope shall keep safe n close iCreator though said ya highest priest like n pope shown thy churches married humans vaccine faith creator God,Kentucky,1,J&J,positive,positive
1.44e+18,19/09/2021 00:10,Thank hard work mobile clinics dad long time vaccine resistor got J amp J Pike Outlets went hat came back vaccinated,California,0,J&J,positive,negative
1.44e+18,18/09/2021 15:46,hosting vaccine clinic J amp J Pfizer Moderna vaccines today 9 18 21 10am 2pm east lot Springman Middle School,Illinois,0,J&J,neutral,neutral
1.44e+18,18/09/2021 12:00,coach vaccine work,Virginia,0,J&J,neutral,neutral
1.44e+18,18/09/2021 00:17,eminent epidemiologist Nicki Minaj believed fact got one shot J amp J vaccine means achieved maximum testicle swole ness,Ohio,0,J&J,neutral,neutral
1.44e+18,17/09/2021 23:15,brother one time J amp j got sick past away 3 months recieving J amp J shot 1 time shot 5 friend died recieving Johnson amp johnson COVID 19 SHOT PAST 5 MONTHS VACCINE R Safe adults CHILDREN,Massachusetts,0,J&J,negative,negative
1.44e+18,17/09/2021 18:58,returned Lake Park mobile Care Van today 9 17 21 offer anyone 12 vaccine shot Pfizer J amp J free clinic open community appt necessary Stop East Campus 3 30pm West Campus football game 5 8pm,Illinois,3,J&J,positive,neutral
1.44e+18,17/09/2021 18:20,covid risky kids polio ever researched rollout polio vaccine mean braver J amp J shot anti vax understand people like anti therapeutic Makes zero sense,Texas,0,J&J,positive,negative
1.44e+18,17/09/2021 18:16,COVID 19 vaccine effectiveness COVID 19 associated hospitalization among adults without immunocompromising conditions 21 hospitals 18 states March Aug 2021 gt 120 days full vaxModerna 92 87 96 Pfizer 77 67 84 gt 28 days full vaxJ amp J 68 49 80,Florida,1,J&J,positive,positive
1.44e+18,17/09/2021 18:09,Moderna vaccine effective Pfizer J amp J also protect well CDC led study,New York,0,J&J,positive,positive
1.44e+18,17/09/2021 10:36,spokesperson Pharma paid big bucks Cheerleader vaccine Lots questions getting Virus affects person less Vaccine causes Death ruins lives Know read seen SAFE,Texas,0,J&J,negative,positive
1.44e+18,17/09/2021 09:06,trenchant critique Johnson amp Johnson argue adopts understanding human human rights privileges Europeans Africans Indians J amp J deliberately engineering vaccine apartheid laying ground new coronavirus variants,New York,5,J&J,positive,positive
1.44e+18,17/09/2021 05:35,MARGE HELP J amp J one shot vaccine crave Mexican food feel urge help fellow human beings,Wisconsin,0,J&J,positive,neutral
1.44e+18,17/09/2021 04:43,Wish would bring information J amp J vaccine regret getting vaccine seem left hanging,Oregon,0,J&J,neutral,neutral
1.44e+18,17/09/2021 02:56,addition J amp J vaccine never fda approved yeah might fucking blood clots,Texas,0,J&J,negative,negative
1.44e+18,17/09/2021 02:39,administration moral legal necessary financial power lift intellectual property barriers persuade J amp J license vaccine via,Minnesota,0,J&J,positive,positive
1.44e+18,17/09/2021 01:20,still J amp J vaccine ready Bourbon 2 shots please,California,0,J&J,positive,positive
1.44e+18,17/09/2021 01:07,everyone gets mRNA vaccine Even chose viral vector vaccine told enough told get another j amp j AstraZeneca still get jab 2 Pfizer mRNA based mRNA vaccine causing,California,0,J&J,neutral,neutral
1.44e+18,16/09/2021 21:54,close care people whatever need feel safe protected However forcing vaccine someone forcing mask mandates prevent spread numbers tell us something get behind,Virginia,0,J&J,positive,positive
1.44e+18,16/09/2021 21:49,science told us without vaccine spreading virus rate lost steam getting people vaccinated get vaccinated prevent spread infection statistically people fine,Virginia,0,J&J,negative,positive
1.44e+18,16/09/2021 21:47,vaccine vaccine like others vaccines prevent infection except flu SHOT vaccine works matter vaccinated personal choice,Virginia,0,J&J,neutral,neutral
1.44e+18,16/09/2021 20:59,vaccine widely available nothing else one scared get shot matter notion vaccinated risk Bc unvaccinated stupidest thing ever heard vaccine work,Virginia,0,J&J,negative,positive
1.44e+18,16/09/2021 20:18,J amp J vaccine called sortaworky,New Jersey,0,J&J,neutral,neutral
1.44e+18,16/09/2021 18:29,read propaganda know Real people Real medical issues occurring DAYS Vax shot 3 Skin cancers Parkinson severe hair loss throat lung cancer Early uterine cancer passing huge blood clots one thing common recent Vaccine,Texas,3,J&J,negative,positive
1.44e+18,16/09/2021 17:53,J amp J breakthrough hospitalisation statistics indicate single shot J amp J effective time Pfizer Moderna French Ministry Heath discontinued use J amp J vaccine entire country 9 5 21,Arizona,0,J&J,positive,positive
1.44e+18,16/09/2021 16:48,Stop questions perfectly fine immediately took vaccine J amp J without researching Folks issues remember,South Carolina,0,J&J,positive,positive
1.44e+18,16/09/2021 15:07,Come bro believed election stolen proof believe vaccine J K,California,0,J&J,negative,neutral
1.44e+18,16/09/2021 14:07,J amp J fought FDA approval released vaccine using black market channels,Ohio,0,J&J,positive,negative
1.44e+18,16/09/2021 03:29,high probability probability folks probably getting vaccine could possibly reach 100 think good news,New York,0,J&J,positive,positive
1.44e+18,16/09/2021 00:46,Rush job use vaccine delivery method used YEARS based science studied YEARS sorry ill informed vaccine med roll outs work rest suffer DerpState,Arkansas,0,J&J,negative,negative
1.44e+18,25/09/2021 23:16,vaccine glut US literally double dip quadruple jabbed Pfizer Moderna questions asked go trifecta J amp J becomes available president wait long share GlobalCitizenLive,Texas,0,J&J,positive,positive
1.44e+18,25/09/2021 18:17,pfizer vaccine full approval know remember astra zenaca situation europe low efficacy rates J amp J vaccine combat situations play non vax world,New Jersey,0,J&J,positive,positive
1.44e+18,25/09/2021 04:25,ran first hand report tiktok prison rewarded bribed inmates bags coffee accepted vaccine amp gave J amp J keep track second dose,Wisconsin,0,J&J,positive,positive
1.44e+18,25/09/2021 03:47,Ya beat word God act choice vaccine drug dealing pushers ya give children freedoms back privacy medical law fall Trump,Kentucky,0,J&J,positive,neutral
1.44e+18,25/09/2021 03:45,Ya say choice ya know means vaccine drug pusher proof ya days u Joe n administration steals choice freedoms constitution laws even gun laws tried make see ya ran ashtray like Donald j Trump choice,Kentucky,0,J&J,negative,neutral
1.44e+18,26/09/2021 12:25,vaccine work Thank believe wasted time getting,Michigan,0,J&J,negative,negative
1.44e+18,26/09/2021 00:22,expect everyone take vaccines expect people virus vaccine take needed precautions protect mother 70 wait J amp J allergic substance,Virginia,0,J&J,positive,neutral
1.44e+18,27/09/2021 16:13,know vaccine n booster Joe n tell us sin murder God eyes murderer Joe Jill n VP 3 actions show know ya murderer tell people knew allergic reaction something play,Kentucky,0,J&J,negative,neutral
1.44e+18,27/09/2021 16:08,chemicals vaccines ilergic goes murder ya children want put unknown things body might allergic death sentence knows vaccine booster,Kentucky,0,J&J,negative,negative
1.44e+18,27/09/2021 14:55,agree got several friends home small severe reactions vaccine took J J one got bad fever day fine others far worse Forcing mandating right IMO,North Carolina,0,J&J,negative,negative
1.44e+18,27/09/2021 14:05,J amp J guy JFK heading Japan stomach 14d quarantine concerned supposed vaccine passport rolling Nov wondering Yoshinoya approve J amp J stamp,New York,0,J&J,neutral,neutral
1.44e+18,27/09/2021 00:48,Karen must J amp J vaccine side effects joke RHOP,Tennessee,0,J&J,positive,neutral
1.44e+18,01/10/2021 21:31,vaccine news advisors plan meet Oct 14 amp 15 Moderna J amp J boosters Oct 26 Pfizer vaccine kids 5 11 years old,Virginia,0,J&J,neutral,positive
1.44e+18,01/10/2021 13:38,Durham Public Library confirmation DHHS Mobile Equity COVID 19 Vaccine Van library TODAYFriday October 1stfrom 10 00 2 00 pm Walk ins welcome Open public ages 12 Pfizer Moderna J amp J vaccinations available,New Hampshire,0,J&J,positive,positive
1.44e+18,01/10/2021 10:35,Lord mercy soul stop idiot aduitall50states NY Governor Forced Take Emergency Measures Vaccine Mandate Leads Health Worker ShortagesREAD,Texas,1,J&J,negative,negative
1.44e+18,30/09/2021 23:45,flaw J amp J vaccine designed mistaken belief spike protein toxic antigen assumption refuted longer fit definition,New York,0,J&J,neutral,positive
1.44e+18,30/09/2021 18:58,Game J amp J special place traditionalists people afraid getting mRNA vaccine viral vector vaccine used forever,Massachusetts,0,J&J,positive,negative
1.44e+18,30/09/2021 15:08,J J Rec young patients w concerns myocarditis adults 18 yrs per panel Hopefully vaccine options widen research happens coming months eligible age cohorts expand,Pennsylvania,0,J&J,positive,positive
1.44e+18,30/09/2021 11:37,happened Spanish flu 2018 2019 similar public health restrictions similar public response Difference develop vaccine people would understand would accelerate recovery pandemic,Pennsylvania,0,J&J,negative,neutral
1.44e+18,30/09/2021 10:13,Got J amp J vaccine yesterday Since yesterday evening really achy VaccineMandate johnsonandjohnson thursdaymorning,Texas,0,J&J,neutral,positive
1.44e+18,30/09/2021 05:47,Vaccine r disgusting Stop killing people dangerous vaccines especially j j vaccine,California,0,J&J,negative,negative
1.44e+18,30/09/2021 00:35,surprise us researched covid19 13 different organs get blood clots people brain one everyone vaccinated variants mask filter shield post vaccine many idiots j,Kentucky,1,J&J,positive,negative
1.44e+18,30/09/2021 00:25,Luka could try one would bat eye Trey Burke gon playing league J Cole dont get vaccine,Texas,0,J&J,positive,neutral
1.44e+18,30/09/2021 00:12,enforcing Asking friend Also info people coming Vegas wan na get j j vaccine time main event,New Jersey,0,J&J,positive,negative
1.44e+18,29/09/2021 23:39,one first children Cuba receive polio vaccine Since received smallpox typhus yellowfever tetanus pneumonia several influeza COVID19 J amp J vaccine Looking forward booster shot aporove,Florida,0,J&J,neutral,positive
1.44e+18,29/09/2021 23:30,Absolutely vet dishonorably discharged refusing vaccine TikTok,Alabama,0,J&J,negative,positive
1.44e+18,29/09/2021 22:57,Ohhh Kay russians lol smdh,California,0,J&J,positive,positive
1.44e+18,29/09/2021 19:26,mRNA vaccine associated myocarditis common males 12 29 likely second dose Risk benefit assmnt needed 2nd dose 1st dose caused myocarditis Consider J amp J alternative IDweek2021,Pennsylvania,9,J&J,positive,negative
1.44e+18,29/09/2021 19:12,Shiiiiet Tell hmu wants make 500k commission worry vaccine,California,0,J&J,negative,positive
1.44e+18,29/09/2021 18:52,anyone else think vaccine help save means get,Tennessee,0,J&J,positive,neutral
1.44e+18,29/09/2021 17:46,Slightly topic SF allowing people received J amp J vaccine get boosters NYC,New York,0,J&J,neutral,negative
1.44e+18,29/09/2021 16:31,Young people healthy fit either Covid still antibodies need vaccine Dylan would know place owner J amp J repair moville spent week hospital w Covid Really bad shape vaccinated,Iowa,0,J&J,positive,positive
1.44e+18,29/09/2021 16:21,thought smart move smh Whatever right applying exercises freedoms vaccine card hand GetVaccinated,Pennsylvania,0,J&J,positive,positive
1.44e+18,29/09/2021 14:31,get vaccine,Tennessee,0,J&J,neutral,neutral
1.44e+18,29/09/2021 14:29,rabbit hole jumped many twists turns leave get vaccine,Tennessee,0,J&J,negative,positive
1.44e+18,29/09/2021 08:14,home healthcare couple years got sick back back 2 major surgeries 15 years ago asthmatic diabetic jumped chance get 1 jab j amp j vaccine covering face staying home even pandemic,Illinois,0,J&J,negative,negative
1.44e+18,29/09/2021 03:37,Yes claiming vaccine related injuries going unreported saying lyingYou claim father stroke J amp J vaccine claiming father woman 50 J amp J transparent adverse reaction reporting,California,0,J&J,positive,neutral
1.44e+18,29/09/2021 01:37,happy learn NIH conducting studies hoping get mRNA booster J amp J vaccine,Washington,2,J&J,positive,positive
1.44e+18,29/09/2021 01:18,way test subject J amp J Vaccine already two shots vaccine safe effective critical vaccinated Vaccine Passports way go,Florida,0,J&J,positive,positive
1.44e+18,29/09/2021 00:45,fact natural antibodies outlasted J amp J Moderna vaccine two blood relatives,Mississippi,0,J&J,positive,positive
1.44e+18,29/09/2021 00:15,Jealous booster Waiting guidance J amp J vaccine Hope process seamless feel okay afterward,Virginia,0,J&J,positive,positive
1.44e+18,28/09/2021 21:39,everyone remember spring Get vaccine get back normal vaccinated need wear mask scrubbed history like Stalin USSR COVID19,Texas,0,J&J,positive,positive
1.44e+18,28/09/2021 20:04,thing LeBrons athlete celebs politicians responsibility promote vaccine data People make decisions live consequences either way end,Virginia,0,J&J,positive,positive
1.44e+18,28/09/2021 18:11,Covid19 J amp J vaccine trial update get booster shot beginning November YAY,North Carolina,0,J&J,positive,neutral
1.44e+18,28/09/2021 17:33,J amp J vaccine uses traditional virus based technology administered amp studied decades,New York,0,J&J,neutral,neutral
1.44e+18,28/09/2021 11:52,vaccine use aborted fetuses goodness lady get facts right,Pennsylvania,0,J&J,positive,positive
1.44e+18,28/09/2021 03:46,Okay Dr J comes says take vaccine reconsider Pretty sure got guys doctors Literally figuratively,Oklahoma,0,J&J,positive,positive
1.44e+18,28/09/2021 03:16,worked different jobs last year near covid offices died got weakest vaccine still accepted J amp J 1 shot 3 yet last month barely sniffle fear respect choice,Florida,0,J&J,negative,positive
1.44e+18,28/09/2021 01:55,got Moderna vaccine 2nd April Happy side effects heard FDA CDC considering booster Moderna J amp J within next two weeks recommend waiting jumping gun mixing vaccines Best luck,Kentucky,0,J&J,positive,positive
1.44e+18,28/09/2021 00:42,Cases matter vaccine prevents hospitalization spread virus longer matters never going vanish earth Living option number matters hospitalizations trending,Virginia,0,J&J,positive,neutral
1.44e+18,28/09/2021 00:39,Negative fact data shown regardless vaccination status viral load without vaccine catch spread virus rate ended thought premise personal choice protection,Virginia,0,J&J,negative,negative
1.44e+18,28/09/2021 00:28,governments anybody else problem someone overweight virus worse person get better health period Masks vaccine mandates etc none matter poor health,Virginia,0,J&J,negative,negative
1.44e+18,27/09/2021 16:13,know vaccine n booster Joe n tell us sin murder God eyes murderer Joe Jill n VP 3 actions show know ya murderer tell people knew allergic reaction something play,Kentucky,0,J&J,negative,neutral
1.44e+18,27/09/2021 16:08,chemicals vaccines ilergic goes murder ya children want put unknown things body might allergic death sentence knows vaccine booster,Kentucky,0,J&J,negative,negative
1.44e+18,27/09/2021 14:55,agree got several friends home small severe reactions vaccine took J J one got bad fever day fine others far worse Forcing mandating right IMO,North Carolina,0,J&J,negative,negative
1.44e+18,27/09/2021 14:05,J amp J guy JFK heading Japan stomach 14d quarantine concerned supposed vaccine passport rolling Nov wondering Yoshinoya approve J amp J stamp,New York,0,J&J,neutral,neutral
1.44e+18,27/09/2021 00:48,Karen must J amp J vaccine side effects joke RHOP,Tennessee,0,J&J,positive,neutral
1.44e+18,26/09/2021 23:49,friend sent article tennis player says season blames vaccine side effects Weak sauce even begin cover,California,0,J&J,negative,negative
1.44e+18,26/09/2021 12:25,vaccine work Thank believe wasted time getting,Michigan,0,J&J,negative,negative
1.44e+18,26/09/2021 00:22,expect everyone take vaccines expect people virus vaccine take needed precautions protect mother 70 wait J amp J allergic substance,Virginia,0,J&J,positive,neutral
1.44e+18,25/09/2021 23:16,vaccine glut US literally double dip quadruple jabbed Pfizer Moderna questions asked go trifecta J amp J becomes available president wait long share GlobalCitizenLive,Texas,0,J&J,positive,positive
1.44e+18,25/09/2021 18:17,pfizer vaccine full approval know remember astra zenaca situation europe low efficacy rates J amp J vaccine combat situations play non vax world,New Jersey,0,J&J,positive,positive
1.44e+18,25/09/2021 04:25,ran first hand report tiktok prison rewarded bribed inmates bags coffee accepted vaccine amp gave J amp J keep track second dose,Wisconsin,0,J&J,positive,positive
1.44e+18,25/09/2021 03:47,Ya beat word God act choice vaccine drug dealing pushers ya give children freedoms back privacy medical law fall Trump,Kentucky,0,J&J,positive,neutral
1.44e+18,25/09/2021 03:45,Ya say choice ya know means vaccine drug pusher proof ya days u Joe n administration steals choice freedoms constitution laws even gun laws tried make see ya ran ashtray like Donald j Trump choice,Kentucky,0,J&J,negative,neutral
